ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
95KY,small_airport,Crawford Ultralightport,1227,NA,US,US-KY,Brodhead,95KY,,95KY,"-84.36920166015625, 37.4202995300293"
95LL,small_airport,Warren Airport,694,NA,US,US-IL,Somonauk,95LL,,95LL,"-88.69439697265625, 41.64780044555664"
95MI,small_airport,Evad Enterprises LLC Airport,981,NA,US,US-MI,Luther,95MI,,95MI,"-85.7307415, 44.087026"
95MO,small_airport,Schlemmer Airport,780,NA,US,US-MO,Laddonia,95MO,,95MO,"-91.65019989013672, 39.259498596191406"
95NE,small_airport,W Meeks Ranch Airport,2335,NA,US,US-NE,Taylor,95NE,,95NE,"-99.45539855957031, 41.992801666259766"
95NY,small_airport,Fisher Airport,1280,NA,US,US-NY,Wales Center/Cowlesville/,95NY,,95NY,"-78.47640228271484, 42.78919982910156"
95OH,small_airport,Tong Farm Airport,840,NA,US,US-OH,Carey,95OH,,95OH,"-83.45829772949219, 40.97090148925781"
95OK,small_airport,Barcus Field,660,NA,US,US-OK,Claremore,95OK,,95OK,"-95.63069915771484, 36.267601013183594"
95OR,small_airport,Flournoy Valley Airport,790,NA,US,US-OR,Roseburg,95OR,,95OR,"-123.53299713134766, 43.20759963989258"
95TA,small_airport,Thunder Creek Airport,1500,NA,US,US-TX,Utopia,95TA,,95TA,"-99.4822998046875, 29.634899139404297"
95TN,small_airport,Blue Ridge Field,525,NA,US,US-TN,Clarksville,95TN,,95TN,"-87.172806, 36.526583"
95TS,small_airport,Rob Airport,1310,NA,US,US-TX,Loving,95TS,,95TS,"-98.48970031738281, 33.23080062866211"
95TX,small_airport,Chupadera Ranch Airport,651,NA,US,US-TX,Carrizo Springs,95TX,,95TX,"-100.0719985961914, 28.1924991607666"
95VA,small_airport,Buck Hollar Airport,450,NA,US,US-VA,Danville,95VA,,95VA,"-79.35590362548828, 36.623199462890625"
95WA,small_airport,Black Diamond Airport,595,NA,US,US-WA,Black Diamond,95WA,,95WA,"-122.01000213623047, 47.31570053100586"
95WI,small_airport,Wisersky Airport,965,NA,US,US-WI,Stoughton,95WI,,95WI,"-89.12969970703125, 42.936100006103516"
95Z,small_airport,Bradley Sky-Ranch Airport,483,NA,US,US-AK,North Pole,95Z,,95Z,"-147.38800048828125, 64.75920104980469"
96C,small_airport,Fox River Airport,822,NA,US,US-WI,Rochester,96C,,96C,"-88.25090026855469, 42.75"
96CO,small_airport,Logan Airport,5300,NA,US,US-CO,Bennet,96CO,,96CO,"-104.39600372314453, 39.85639953613281"
96FD,small_airport,Citrus Hedging Ranch Airport,60,NA,US,US-FL,Okeechobee,96FD,,96FD,"-80.73619842529297, 27.33340072631836"
96FL,small_airport,Wings Field,100,NA,US,US-FL,Williston,96FL,,96FL,"-82.54540252685547, 29.24250030517578"
96G,small_airport,Cowley Field,770,NA,US,US-MI,Sandusky,96G,,96G,"-82.8145980834961, 43.376399993896484"
96GA,small_airport,3-M's Airport,890,NA,US,US-GA,Williamson,96GA,,96GA,"-84.36810302734375, 33.18579864501953"
96ID,small_airport,Flying H Ranch Airport,2230,NA,US,US-ID,Priest River,96ID,,96ID,"-116.875, 48.235599517822266"
96IL,small_airport,Kramer Airport,930,NA,US,US-IL,Lena,96IL,,96IL,"-89.84600067138672, 42.375"
96IS,small_airport,Hildreth Air Park,730,NA,US,US-IL,Sidell,96IS,,96IS,"-87.84500122070312, 39.875"
96KY,small_airport,A & L Airport,465,NA,US,US-KY,Calhoun,96KY,,96KY,"-87.27140045166016, 37.55220031738281"
96LL,small_airport,Wichman Airport,681,NA,US,US-IL,Stockland,96LL,,96LL,"-87.61419677734375, 40.6161003112793"
96MU,small_airport,Green Airfield,1068,NA,US,US-MO,St. James,96MU,,96MU,"-91.60209655761719, 37.94340133666992"
96OK,small_airport,Mike's Place Airport,1787,NA,US,US-OK,Buffalo,96OK,,96OK,"-99.45670318603516, 36.848899841308594"
96OR,small_airport,Cable Creek Ranch Airport,4060,NA,US,US-OR,Ukiah,96OR,,96OR,"-118.81700134277344, 45.10060119628906"
96TE,small_airport,Bodine Airport,2623,NA,US,US-TX,Sterling City,96TE,,96TE,"-100.8716111, 31.9030278"
96TN,small_airport,Mount Bakewell Airfield,1640,NA,US,US-TN,Bakewell,96TN,,96TN,"-85.161678, 35.367073"
96TS,small_airport,Southwest Lubbock Airport,3265,NA,US,US-TX,Wolfforth,96TS,,96TS,"-102.0094583, 33.3955806"
