"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-5 (0 Flock 2E-5 0C43),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,403,2.95E-04,51.6,92.5,4,,,5/30/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067JN,41564,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-6 (0 Flock 2E-6 0C75),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,400,402,1.48E-04,51.6,92.5,4,,,5/30/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067JM,41563,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-7 (0 Flock 2E-7 0C24),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,5/31/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067JP,41565,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-8 (0 Flock 2E-8 0C2B),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,404,5.17E-04,51.6,92.5,4,,,5/31/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067JQ,41566,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-9 (0 Flock 2E-9 0C14),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,6/1/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067JV,41571,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-1 (0 Flock 2EP-1 0D05),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,5/17/16,,"Planet Labs, Inc.",USA,International Space Center,Nanorack Deployer,1998-067HZ,41479,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-10 (0 Flock 2EP-10 0C65),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,6/3/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KA,41576,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-11 (0 Flock 2EP-11 0C27),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,403,4.43E-04,51.6,92.5,4,,,6/3/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KB,41577,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-12 (0 Flock 2EP-12 0C81),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,6/3/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KC,41578,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-13 (0 Flock 2EP-13 0C45),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,4,,,9/15/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KH,41761,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-14 (0 Flock 2EP-14 0C56),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,4,,,9/15/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KJ,41762,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-15 (0 Flock 2EP-15 0C54),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,408,6.64E-04,51.6,92.6,4,,,9/15/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KL,41764,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-16 (0 Flock 2EP-16 0C0B),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,409,8.12E-04,51.6,92.6,4,,,9/15/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KK,41763,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-17 (0 Flock 2EP-17 0C12),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,408,7.38E-04,51.6,92.6,4,,,9/15/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KN,41776,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-18 (0 Flock 2EP-18 0C44),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,408,7.38E-04,51.6,92.6,4,,,9/16/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KM,41769,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-19 (0 Flock 2EP-19 0C62),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,408,7.38E-04,51.6,92.6,4,,,9/15/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KQ,41782,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-2 (0 Flock 2EP-2 0C1B),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,400,401,7.38E-05,51.6,92.5,4,,,5/17/16,,"Planet Labs, Inc.",USA,International Space Center,Nanorack Deployer,1998-067JB,41481,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-20 (0 Flock 2EP-20 0C38),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,409,8.12E-04,51.6,92.6,4,,,9/17/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067KP,41777,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-3 (0 Flock 2EP-3 0D06),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,402,2.95E-04,51.6,92.5,4,,,5/17/16,,"Planet Labs, Inc.",USA,International Space Center,Nanorack Deployer,1998-067JA,41480,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-4 (0 Flock 2EP-4 0C22),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,5/17/16,,"Planet Labs, Inc.",USA,International Space Center,Nanorack Deployer,1998-067JC,41482,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-5 (0 Flock 2EP-5 0C59),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,6/1/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067JR,41567,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-6 (0 Flock 2EP-6 0C46),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,6/1/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067JS,41568,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-7 (0 Flock 2EP-7 0C42),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,6/1/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067JT,41569,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-8 (0 Flock 2EP-8 0C76),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,403,5.17E-04,51.6,92.5,4,,,6/1/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067JU,41570,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-9 (0 Flock 2EP-9 0C19),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,406,8.12E-04,51.6,92.5,4,,,6/3/16,,Planet,USA,International Space Center,Nanorack Deployer,1998-067JZ,41575,,JMSatcat 12/16,http://www.planet4589.org/space/jsr/jsr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",USA,USA,US Air Force,Military,Communications,,GEO,,60.01,"35,771","35,802",3.68E-04,0.03,1436.12,"1,156",884,"1,240",3/11/03,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2003-008A,27691,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",JM/12_08,http://1mms.external.lmco.com/newsbureau/pressreleases/03.07.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",USA,USA,US Air Force,Military,Communications,,GEO,,-52.51,"35,760","35,814",6.40E-04,0.05,1436.1,"1,156",884,"1,240",8/29/03,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 4,2003-040A,27875,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band. ",JM/12_08,http://www.space.com/missionlaunches/launches/atlas_launch_001019.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)",USA,USA,US Air Force,Military,Communications,,GEO,,-130.05,"35,757","35,817",7.12E-04,2.54,1436.1,"1,156",884,"1,240",10/24/97,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 4,1997-065A,25019,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",JM/12_08,www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",USA,USA,US Air Force,Military,Communications,,GEO,,,"35,706","35,868",1.92E-03,0.01,1436.13,"1,156",884,"1,240",1/1/00,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2000-001A,26052,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",JM/12_08,www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",USA,USA,US Air Force,Military,Communications,,GEO,,-12.15,"35,774","35,799",2.97E-04,0.04,1436.12,"1,156",884,"1,240",10/20/00,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2000-065A,26575,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",JM/12_08,www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",USA,USA,US Air Force,Military,Communications,,GEO,,-52.4,"35,784","35,784",0.00E+00,0,1436.1,"1,156",884,"1,240",7/31/95,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,1995-038A,23628,Moved to replace GOES 3 in providing internet service to researchers in Antarctica for 3.5 hours per day.,GS,http://www.lockheedmartin.com/us/news/press-releases/2016/october/ssc-101116-DSCS-south-pole.html,http://www.space-technology.com/projects/sicral/,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 18 (USA 130) (Defense Support Program),USA,USA,Air Force,Military,Earth Observation,Infrared Imaging,GEO,,0,"35,780","35,800",2.37E-04,0.1,1436.27,"2,380",,"1,485",2/23/97,5 yrs.,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,1997-008A,24737,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,JMSatcat304,,,http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 20 (USA 149) (Defense Support Program),USA,USA,Air Force,Military,Earth Observation,Infrared Imaging,GEO,,-36.25,"35,897","35,909",1.42E-04,4.08,142.08,"2,380",,"1,485",5/18/00,7-9 yrs.,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,2000-024A,26356,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,JM/12_08,,,http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 21 (USA 159) (Defense Support Program),USA,USA,Air Force,Military,Earth Observation,Infrared Imaging,GEO,,69.48,"35,765","35,810",5.34E-04,3.68,1436.14,"2,380",,"1,485",8/6/01,7-9 yrs.,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan 4B,2001-033A,26880,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,JM/12_08,http://www.spaceline.org/news/titan/dsp-21/dsp-21.html,http://www.spaceandtech.com/spacedata/logs/2001/2001-033a_dsp-21_sum.shtml,http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 22 (USA 176) (Defense Support Program),USA,USA,Air Force,Military,Earth Observation,Infrared Imaging,GEO,,103.84,"35,741","35,832",1.08E-03,1.41,1436.12,"2,380",,"1,485",2/14/04,7-9 yrs.,Northrup Grumman (formerly TRW),USA,Cape Canaveral,Titan 4B,2004-004A,28158,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,JM/12_08,,,http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 10,USA,USA,"Echostar Satellite Services, LLC",Commercial,Communications,,GEO,,-110.07,"35,780","35,792",1.42E-04,0.06,1436,"4,333",,"10,000",2/15/06,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Ocean Odyssey,Zenit 3SL,2006-003A,28935,"Direct-to-home transmission of voice, video and internet.",JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echoX/index.shtml,http://www.space.com/missionlaunches/060216_sea_launch.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2006/003A.HTM&act=print,http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 11,USA,USA,"Echostar Satellite Services, LLC",Commercial,Communications,,GEO,,-109.97,"35,778","35,793",1.78E-04,0.03,1436.1,"5,500",,"20,000",7/16/08,15 yrs.,Space Systems/Loral,USA,Ocean Odyssey,Zenit 3SL,2008-035A,33207,Direct-to-home television.,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx657.html,http://www.space-travel.com/reports/Sea_Launch_Delivers_Echostar_11_To_Orbit_999.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 12 (Rainbow-1) ,USA,USA,"Echostar Satellite Services, LLC",Commercial,Communications,,GEO,,-61.63,"35,782","35,791",1.07E-04,0.06,1436.11,"4,328",,,7/17/03,18 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2003-033A,27852,Direct-to-home television services; cable's attempt to compete with dish networks.,JM/12_08,,http://nssdc.gsfc.nasa.gov/spacewarn/spx597.html,http://www.cablevision.com/index.jhtml?id=2003_07_17,http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 17,USA,USA,"Echostar Satellite Services, LLC",Commercial,Communications,,GEO,,-107.1,"35,781","35,794",1.54E-04,0.01,1436.13,"6,100",,"16,100",7/5/12,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2012-035A,38551,All ka-band communications.,ZARYA,http://www.spacenews.com/launch/120706-echostar17-healthy.html,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 18,NR (12/16),USA,"Echostar Satellite Services, LLC",Commercial,Communications,,GEO,,-109.9,"35,692","35,788",1.14E-03,0.08,1436.3,"6,300",,,6/19/16,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2016-039B,41592,First in Echostar's fleet to provide coverage to Cuba.,ZARYA,http://spaceflightnow.com/2016/06/19/ariane-5-rocket-hoists-record-commercial-payload-into-orbit/,http://www.zarya.info/Diaries/Launches/Launches.php?year=2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 19,NR (1/17),USA,"HughesNet leased from Echostar Technologies, LLC",Commercial,Communications,,GEO,,-97.1,"35,771","35,796",2.97E-04,0.2,1436.3,"6,764",,,12/18/16,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 5,2016-079A,41893,"Leased to HughesNet to provide internet to rural areas in US, Central America, Mexico, Canada",JM/1/2017,http://spaceflightnow.com/2016/12/18/atlas-5-rocket-launches-satellite-to-bring-high-speed-internet-to-more-americans/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 23,NR (9/17),USA,"Echostar Satellite Services, LLC",Commercial,Communications,,GEO,,-45,"35,786","35,803",2.02E-04,0,1436.1,"5,600",,,3/16/17,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2017-014A,42070,,JMSatcat,https://spaceflightnow.com/2017/03/16/tv-broadcast-satellite-launched-aboard-falcon-9-rocket/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 7 ,USA,USA,"Echostar Satellite Services, LLC",Commercial,Communications,,GEO,,-118.85,"35,782","35,789",8.30E-05,0.01,1436.07,"4,027","2,200","13,000",2/21/02,12 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 3B,2002-006A,27378,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders",JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo7/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",USA,USA,"Echostar Satellite Services, LLC/Intelsat ",Commercial,Communications,,GEO,,-121.02,"35,775","35,797",2.61E-04,0.01,1436.08,"4,000","2,500",,8/8/03,13 yrs.,Space Systems/Loral,USA,Ocean Odyssey,Zenit 3SL,2003-034A,27854,"24 C-band, 2 Ka-band, 32 Ku-band; additional C-band payload owned and operated by Loral Skynet.",JM/12_08,http://www.abcnewsabsat.com/home.html,www.spaceflightnow.com/sealaunch/echostar9/status.html,http://www.intelsat.com/news/releases/press/2003-26.asp,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Echostar G1 (ICO G1, DBSD G1)",USA,USA,"Echostar Satellite Services, LLC",Commercial,Communications,,GEO,,-92.92,"35,773","35,799",3.08E-04,5.73,1436.1,"6,600",,"16,000",4/14/08,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 5,2008-016A,32763,"CONUS, Puerto Rico, Virgin Islands. Purchased by Dish Network in 2011. ",JM/12_08,http://www.ico.com/_about/tech/geo.php,http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html,http://www.lib.cas.cz/space.40/2008/016A.HTM,http://www.spacenews.com/satellite_telecom/120418-boeing-wins-appeal-ico-global-case.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-E12 (ELectronic Intelligence by SAtellite),France,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,675,692,1.21E-03,98.21,98.43,120,,,12/17/11,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076D,38010,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,Astronomy News,http://www.spacenews.com/military/111216--french-elint-end-decade-start.html,http://astronomy.activeboard.com/t13482134/elisa-satellites/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-E24 (ELectronic Intelligence by SAtellite),France,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,675,692,1.21E-03,98.21,98.43,120,,,12/17/11,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076B,38008,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,Astronomy News,http://www.spacenews.com/military/111216--french-elint-end-decade-start.html,http://astronomy.activeboard.com/t13482134/elisa-satellites/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-W11 (ELectronic Intelligence by SAtellite),France,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,677,692,1.06E-03,98.21,98.45,120,,,12/17/11,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076A,38007,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,Astronomy News,http://www.spacenews.com/military/111216--french-elint-end-decade-start.html,http://astronomy.activeboard.com/t13482134/elisa-satellites/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-W23 (ELectronic Intelligence by SAtellite),France,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,677,692,1.06E-03,98.21,98.46,120,,,12/17/11,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076C,38009,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,Astronomy News,http://www.spacenews.com/military/111216--french-elint-end-decade-start.html,http://astronomy.activeboard.com/t13482134/elisa-satellites/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOS-AM Terra ,USA,USA/Canada/Japan,Earth Sciences Enterprise (NASA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,"4,854",,"2,530",12/18/99,6 yrs.,Lockheed Martin,USA,Vandenberg AFB,Atlas 2AS,1999-068A,25994,Aathfinusrs for Earth Sciences Gnterprise's 190 Vanelliea LEO gonseallation.,www.satellitedebris.net 12/12,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html,http://terra.nasa.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
