Name,Launch Site,State,Latitude,Longitude,Day,Year
Tanyusha YuZGU-1 (Radioskaf RS-6),International Space Center,Texas,29.5517223,-95.0985272,20170817,2017
Tanyusha YuZGU-2 (Radioskaf RS-7),International Space Center,Texas,29.5517223,-95.0985272,20170817,2017
"TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)",Cape Canaveral,Florida,28.45077,-80.52662,20021204,2002
"TDRS-11 (Tracking and Data Relay Satellite, TDRS K)",Cape Canaveral,Florida,28.45077,-80.52662,20130131,2013
"TDRS-12 (Tracking and Data Relay Satellite, TDRS L)",Cape Canaveral,Florida,28.45077,-80.52662,20140123,2014
"TDRS-13 (Tracking and Data Relay Satellite, TDRS M)",Cape Canaveral,Florida,28.45077,-80.52662,20170818,2017
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",Cape Canaveral,Florida,28.45077,-80.52662,19880929,1988
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",Cape Canaveral,Florida,28.45077,-80.52662,19910802,1991
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",Cape Canaveral,Florida,28.45077,-80.52662,19930113,1993
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",Cape Canaveral,Florida,28.45077,-80.52662,19950713,1995
"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)",Cape Canaveral,Florida,28.45077,-80.52662,20000630,2000
"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)",Cape Canaveral,Florida,28.45077,-80.52662,20020308,2002
Telkom 2,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20051116,2005
Telkom 3S,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20170214,2017
Telstar 11N,Ocean Odyssey,California,40.012573,-74.151876,20090226,2009
Telstar 12 (Orion 2),Guiana Space Center,French Guiana,5.21237515,-52.77388327,19991019,1999
Telstar 18 (Apstar 5),Ocean Odyssey,California,40.012573,-74.151876,20040629,2004
TerraStar 1,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20090701,2009
"Thaicom-4 (Ipstar 1, Measat 5)",Guiana Space Center,French Guiana,5.21237515,-52.77388327,20050811,2005
Thaicom-5,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20060527,2006
Thaicom-6,Cape Canaveral,Florida,28.45077,-80.52662,20140106,2014
Thaicom-8,Cape Canaveral,Florida,28.45077,-80.52662,20160527,2016
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,Cape Canaveral,Florida,28.45077,-80.52662,20070217,2007
THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,Cape Canaveral,Florida,28.45077,-80.52662,20070217,2007
THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,Cape Canaveral,Florida,28.45077,-80.52662,20070217,2007
Thor-3 ,Cape Canaveral,Florida,28.45077,-80.52662,19980610,1998
Thor-6,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20091029,2009
Thor-7,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20150426,2015
Thuraya 2 ,Ocean Odyssey,California,40.012573,-74.151876,20030610,2003
Thuraya 3,Ocean Odyssey,California,40.012573,-74.151876,20080115,2008
TIMED (Thermosphere _ Ionosphere _ Mesosphere _ Energetics and Dynamics),Vandenberg AFB,California,34.7425933,-120.5155986,20011207,2001
TNS-0-2 Nanosputnik,International Space Center,Texas,29.5517223,-95.0985272,20170817,2017
Toki (Bird JJ),International Space Center,Texas,29.5517223,-95.0985272,20170707,2017
Tomsk-TPU-120,International Space Center,Texas,29.5517223,-95.0985272,20170817,2017
"Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)",Cape Canaveral,Florida,28.45077,-80.52662,19971108,1997
Turkmen Alem 52E/MonacoSAT,Cape Canaveral,Florida,28.45077,-80.52662,20150427,2015
Turksat 3A,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20080612,2008
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",Cape Canaveral,Florida,28.45077,-80.52662,19991124,1999
"UFO-11  (USA 174) ""UHF Follow-On""",Cape Canaveral,Florida,28.45077,-80.52662,20031218,2003
"UFO-2 (USA 95) ""UHF Follow-On""",Cape Canaveral,Florida,28.45077,-80.52662,19930903,1993
