,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,state
541,Dos Cabezas,7721,Valid,L5,755.0,Found,1998.0,32.295,-109.67,"(32.295000, -109.670000)",US-AZ
542,Dougherty,7724,Valid,L6,1113.0,Found,2002.0,33.97917,-101.2,"(33.979170, -101.200000)",US-TX
543,Doyleville,7727,Valid,H5,112.0,Found,1887.0,38.41667,-106.58333,"(38.416670, -106.583330)",US-CO
544,Drayton,7729,Valid,H4/5,2350.0,Found,1982.0,48.66667,-97.11667,"(48.666670, -97.116670)",US-ND
545,Dresden (Kansas),7730,Valid,H5,6760.0,Found,1953.0,39.61667,-100.46306,"(39.616670, -100.463060)",US-KS
546,Drum Mountains,7733,Valid,"Iron, IIIAB",529000.0,Found,1944.0,39.5,-112.9,"(39.500000, -112.900000)",US-UT
547,Dry Lake Valley,7734,Valid,L6,3.5,Found,2000.0,37.72683,-114.7865,"(37.726830, -114.786500)",US-NV
548,Duchesne,7737,Valid,"Iron, IVA",22700.0,Found,1906.0,40.38333,-110.86667,"(40.383330, -110.866670)",US-UT
549,Duel Hill (1854),7738,Valid,"Iron, IVA",21800.0,Found,1854.0,35.85,-82.7,"(35.850000, -82.700000)",US-TN
550,Duel Hill (1873),7739,Valid,"Iron, IAB-MG",11300.0,Found,1873.0,35.85,-82.7,"(35.850000, -82.700000)",US-TN
551,Dumas (a),7741,Valid,H5,46050.0,Found,1956.0,35.9,-101.9,"(35.900000, -101.900000)",US-TX
552,Dumas (b),7742,Valid,H6,2284.0,Found,1980.0,35.925,-101.895,"(35.925000, -101.895000)",US-TX
553,Dumont,47341,Valid,"Iron, IVB",27420.0,Found,1994.0,33.81667,-100.51667,"(33.816670, -100.516670)",US-TX
554,Duncanville,7744,Valid,H,17800.0,Found,1961.0,32.63333,-96.86667,"(32.633330, -96.866670)",US-TX
555,Dungannon,7747,Valid,"Iron, IAB-MG",13000.0,Found,1922.0,36.85,-82.45,"(36.850000, -82.450000)",US-VA
556,Dutch Flat,7753,Valid,"Iron, IIAB",48.8,Found,2002.0,34.48333,-113.91667,"(34.483330, -113.916670)",US-AZ
