,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,state
0,Allegan,2276,Valid,H5,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.533330, -85.883330)",US-MI
1,Allende,2278,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,"(26.966670, -105.316670)",US-TX
2,Andover,2295,Valid,L6,3200.0,Fell,1898.0,44.61667,-70.75,"(44.616670, -70.750000)",US-NH
3,Archie,2329,Valid,H6,5070.0,Fell,1932.0,38.5,-94.3,"(38.500000, -94.300000)",US-MO
4,Ash Creek,48954,Valid,L6,9500.0,Fell,2009.0,31.805,-97.01,"(31.805000, -97.010000)",US-TX
5,Athens,4885,Valid,LL6,265.0,Fell,1933.0,34.75,-87.0,"(34.750000, -87.000000)",US-AL
6,Atoka,4888,Valid,L6,1384.2,Fell,1945.0,34.31667,-96.15,"(34.316670, -96.150000)",US-TX
7,Avilez,4907,Valid,H,146.0,Fell,1855.0,25.0,-103.5,"(25.000000, -103.500000)",
8,Aztec,4913,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,"(36.800000, -108.000000)",US-NM
9,Bald Mountain,4925,Valid,L4,3700.0,Fell,1929.0,35.96667,-82.48333,"(35.966670, -82.483330)",US-TN
10,Baldwyn,4926,Valid,L6,345.0,Fell,1922.0,34.5,-88.66667,"(34.500000, -88.666670)",US-MS
11,Bath,4974,Valid,H4,21000.0,Fell,1892.0,45.41667,-98.31667,"(45.416670, -98.316670)",US-SD
12,Bath Furnace,4975,Valid,L6,86000.0,Fell,1902.0,38.25,-83.75,"(38.250000, -83.750000)",US-KY
13,Battle Mountain,56133,Valid,L6,2900.0,Fell,2012.0,40.66813,-117.18913,"(40.668130, -117.189130)",US-NV
14,Baxter,4977,Valid,L6,611.0,Fell,1916.0,36.75,-93.5,"(36.750000, -93.500000)",US-MO
15,Beardsley,4984,Valid,H5,16000.0,Fell,1929.0,39.8,-101.2,"(39.800000, -101.200000)",US-KS
16,Bells,5005,Valid,C2-ung,375.0,Fell,1961.0,33.6,-96.46667,"(33.600000, -96.466670)",US-TX
17,Benld,5021,Valid,H6,1770.5,Fell,1938.0,39.08333,-89.15,"(39.083330, -89.150000)",US-KY
18,Benton,5026,Valid,LL6,2840.0,Fell,1949.0,45.95,-67.55,"(45.950000, -67.550000)",US-ME
19,Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004.0,40.30583,-105.02325,"(40.305830, -105.023250)",US-CO
20,Bethlehem,5032,Valid,H,13.9,Fell,1859.0,42.53333,-73.83333,"(42.533330, -73.833330)",US-NY
21,Bishopville,5059,Valid,Aubrite,6000.0,Fell,1843.0,34.16667,-80.28333,"(34.166670, -80.283330)",US-NC
22,Black Moshannan Park,5065,Valid,L5,705.0,Fell,1941.0,40.91667,-78.08333,"(40.916670, -78.083330)",US-NY
23,Blackwell,5068,Valid,L5,2381.0,Fell,1906.0,36.83333,-97.33333,"(36.833330, -97.333330)",US-OK
24,Blanket,5071,Valid,L6,5100.0,Fell,1909.0,31.83333,-98.83333,"(31.833330, -98.833330)",US-TX
25,Bloomington,5076,Valid,LL6,67.8,Fell,1938.0,40.48,-89.00417,"(40.480000, -89.004170)",US-IL
26,Bradford Woods,5128,Valid,L,762.0,Fell,1886.0,40.5,-80.08333,"(40.500000, -80.083330)",US-PA
27,Burnwell,5175,Valid,H4-an,1504.0,Fell,1990.0,37.62194,-82.23722,"(37.621940, -82.237220)",US-VA
28,Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,Fell,1886.0,35.5,-93.5,"(35.500000, -93.500000)",US-AR
29,Canon City,5253,Valid,H6,1400.0,Fell,1973.0,38.47028,-105.24139,"(38.470280, -105.241390)",US-CO
30,Cape Girardeau,5260,Valid,H6,2300.0,Fell,1846.0,37.26667,-89.58333,"(37.266670, -89.583330)",US-IL
31,Castalia,5291,Valid,H5,7300.0,Fell,1874.0,36.08333,-78.06667,"(36.083330, -78.066670)",US-NC
32,Castine,5293,Valid,L6,94.0,Fell,1848.0,44.38333,-68.75,"(44.383330, -68.750000)",US-ME
33,Caswell County,5296,Valid,OC,1360.0,Fell,1810.0,36.5,-79.25,"(36.500000, -79.250000)",US-NC
34,Ceniceros,5306,Valid,L3.7,1025.0,Fell,1988.0,26.46667,-105.23333,"(26.466670, -105.233330)",US-TX
35,Centerville,5307,Valid,H5,45.6,Fell,1956.0,43.2,-96.91667,"(43.200000, -96.916670)",US-SD
36,Charlotte,5328,Valid,"Iron, IVA",4300.0,Fell,1835.0,36.16667,-87.33333,"(36.166670, -87.333330)",US-TN
37,Cherokee Springs,5340,Valid,LL6,8400.0,Fell,1933.0,35.03333,-81.88333,"(35.033330, -81.883330)",US-TN
38,Chicora,5349,Valid,LL6,303.0,Fell,1938.0,40.93333,-79.73333,"(40.933330, -79.733330)",US-NY
39,Claxton,5374,Valid,L6,1455.0,Fell,1984.0,32.1025,-81.87278,"(32.102500, -81.872780)",US-GA
40,Colby (Wisconsin),5395,Valid,L6,104000.0,Fell,1917.0,44.9,-90.28333,"(44.900000, -90.283330)",US-WI
41,Coleman,5401,Valid,L6,469.0,Fell,1994.0,43.76111,-84.50778,"(43.761110, -84.507780)",US-MI
42,Crescent,5470,Valid,CM2,78.4,Fell,1936.0,35.95,-97.58333,"(35.950000, -97.583330)",US-TX
43,Cross Roads,5476,Valid,H5,167.0,Fell,1892.0,35.63333,-78.13333,"(35.633330, -78.133330)",US-NC
44,Cumberland Falls,5496,Valid,Aubrite,17000.0,Fell,1919.0,36.83333,-84.35,"(36.833330, -84.350000)",US-KY
45,Cynthiana,5500,Valid,L/LL4,6000.0,Fell,1877.0,38.4,-84.25,"(38.400000, -84.250000)",US-KY
46,Danville,5514,Valid,L6,2000.0,Fell,1868.0,34.4,-87.06667,"(34.400000, -87.066670)",US-AL
47,De Cewsville,6621,Valid,H6,340.0,Fell,1887.0,43.0,-80.0,"(43.000000, -80.000000)",
48,Deal,6634,Valid,L6,28.0,Fell,1829.0,40.25,-74.0,"(40.250000, -74.000000)",US-NJ
49,Denver,6660,Valid,L6,230.0,Fell,1967.0,39.7825,-104.93056,"(39.782500, -104.930560)",US-CO
50,Drake Creek,7728,Valid,L6,5000.0,Fell,1827.0,36.4,-86.5,"(36.400000, -86.500000)",US-TN
51,Dresden (Ontario),7731,Valid,H6,47700.0,Fell,1939.0,42.52,-82.26,"(42.520000, -82.260000)",US-MI
52,Eagle,7760,Valid,EL6,10000.0,Fell,1947.0,40.78167,-96.47167,"(40.781670, -96.471670)",US-NE
53,El Paso de Aguila,45977,Valid,H5,17226.0,Fell,1977.0,25.37,-97.37,"(25.370000, -97.370000)",
54,Elbert,7822,Valid,LL6,680.5,Fell,1998.0,39.24667,-104.58817,"(39.246670, -104.588170)",US-CO
55,Estherville,10059,Valid,Mesosiderite-A3/4,320000.0,Fell,1879.0,43.41667,-94.83333,"(43.416670, -94.833330)",US-IA
56,Farmington,10074,Valid,L5,89400.0,Fell,1890.0,39.75,-97.03333,"(39.750000, -97.033330)",US-KS
57,Farmville,10075,Valid,H4,56000.0,Fell,1934.0,35.55,-77.53333,"(35.550000, -77.533330)",US-NC
58,Fayetteville,10079,Valid,H4,2360.0,Fell,1934.0,36.05,-94.16667,"(36.050000, -94.166670)",US-TX
59,Felix,10081,Valid,CO3.3,3200.0,Fell,1900.0,32.53333,-87.16667,"(32.533330, -87.166670)",US-AL
60,Ferguson,10088,Valid,OC,220.0,Fell,1889.0,36.1,-81.41667,"(36.100000, -81.416670)",US-NC
61,Fisher,10107,Valid,L6,17600.0,Fell,1894.0,47.81667,-96.85,"(47.816670, -96.850000)",US-ND
62,Florence,10111,Valid,H3,3640.0,Fell,1922.0,30.83333,-97.76667,"(30.833330, -97.766670)",US-TX
63,Forest City,10119,Valid,H5,152000.0,Fell,1890.0,43.25,-93.66667,"(43.250000, -93.666670)",US-IA
64,Forksville,10123,Valid,L6,6067.0,Fell,1924.0,36.78333,-78.08333,"(36.783330, -78.083330)",US-VA
65,Forsyth,10164,Valid,L6,16300.0,Fell,1829.0,33.01667,-83.96667,"(33.016670, -83.966670)",US-GA
66,Frankfort (stone),10177,Valid,Howardite,650.0,Fell,1868.0,34.48333,-87.83333,"(34.483330, -87.833330)",US-AL
67,Garland,10861,Valid,Diogenite-pm,102.0,Fell,1950.0,41.68333,-112.13333,"(41.683330, -112.133330)",US-UT
68,Grimsby,50911,Valid,H5,215.0,Fell,2009.0,43.2,-79.61667,"(43.200000, -79.616670)",US-NY
69,Hamlet,11485,Valid,LL4,3710.0,Fell,1959.0,41.38333,-86.6,"(41.383330, -86.600000)",US-IN
70,Harleton,11830,Valid,L6,8360.0,Fell,1961.0,32.675,-94.51167,"(32.675000, -94.511670)",US-TX
71,Harrison County,11842,Valid,L6,680.0,Fell,1859.0,38.25,-86.16667,"(38.250000, -86.166670)",US-KY
72,Holbrook,11894,Valid,L/LL6,220000.0,Fell,1912.0,34.9,-110.18333,"(34.900000, -110.183330)",US-AZ
73,Homestead,11901,Valid,L5,230000.0,Fell,1875.0,41.8,-91.86667,"(41.800000, -91.866670)",US-IA
74,Hoxie,11915,Valid,OC,266.1,Fell,1963.0,39.35,-100.45,"(39.350000, -100.450000)",US-KS
75,Independence,12028,Valid,L6,880.0,Fell,1917.0,39.08333,-94.4,"(39.083330, -94.400000)",US-MO
76,Johnstown,12198,Valid,Diogenite,40300.0,Fell,1924.0,40.35,-104.9,"(40.350000, -104.900000)",US-CO
77,Kendleton,12275,Valid,L4,6937.0,Fell,1939.0,29.45,-96.0,"(29.450000, -96.000000)",US-TX
78,Kilbourn,12308,Valid,H5,772.0,Fell,1911.0,43.58333,-89.6,"(43.583330, -89.600000)",US-WI
79,Kirbyville,12321,Valid,Eucrite-mmict,97.7,Fell,1906.0,30.75,-95.95,"(30.750000, -95.950000)",US-TX
80,Kitchener,12326,Valid,L6,202.6,Fell,1998.0,43.38333,-80.38333,"(43.383330, -80.383330)",
81,Leedey,12755,Valid,L6,51500.0,Fell,1943.0,35.88333,-99.33333,"(35.883330, -99.333330)",US-TX
82,Leighton,12760,Valid,H5,877.0,Fell,1907.0,34.58333,-87.5,"(34.583330, -87.500000)",US-AL
83,Little Piney,14664,Valid,L5,491.0,Fell,1839.0,37.91667,-92.08333,"(37.916670, -92.083330)",US-MO
84,Lorton,52843,Valid,L6,329.7,Fell,2010.0,38.70066,-77.21163,"(38.700660, -77.211630)",US-VA
85,Lost City,14711,Valid,H5,17000.0,Fell,1970.0,36.00833,-95.15,"(36.008330, -95.150000)",US-TX
86,Louisville,14716,Valid,L6,1300.0,Fell,1977.0,38.25,-85.75,"(38.250000, -85.750000)",US-KY
87,Lumpkin,14753,Valid,L6,340.0,Fell,1869.0,32.03333,-84.76667,"(32.033330, -84.766670)",US-GA
88,Malaga,15393,Valid,OC,150.0,Fell,1933.0,32.21667,-104.0,"(32.216670, -104.000000)",US-NM
89,Mariaville,15419,Valid,Iron,340.0,Fell,1898.0,42.71667,-99.38333,"(42.716670, -99.383330)",US-NE
90,Marion (Iowa),15424,Valid,L6,28400.0,Fell,1847.0,41.9,-91.6,"(41.900000, -91.600000)",US-IA
91,Maryville,15436,Valid,L6,1443.0,Fell,1983.0,35.8,-84.1,"(35.800000, -84.100000)",US-TN
92,Mifflin,52090,Valid,L5,3584.0,Fell,2010.0,42.9075,-90.36556,"(42.907500, -90.365560)",US-WI
93,Miller (Arkansas),16645,Valid,H5,16700.0,Fell,1930.0,35.4,-92.05,"(35.400000, -92.050000)",US-AR
94,Modoc (1905),16711,Valid,L6,35000.0,Fell,1905.0,38.5,-101.1,"(38.500000, -101.100000)",US-KS
95,Monahans (1998),16719,Valid,H5,2587.0,Fell,1998.0,31.60833,-102.85833,"(31.608330, -102.858330)",US-TX
96,Monroe,16720,Valid,H4,8600.0,Fell,1849.0,35.25,-80.5,"(35.250000, -80.500000)",US-NC
97,Moore County,16736,Valid,Eucrite-cm,1880.0,Fell,1913.0,35.41667,-79.38333,"(35.416670, -79.383330)",US-NC
98,Murray,16882,Valid,CM2,12600.0,Fell,1950.0,36.6,-88.1,"(36.600000, -88.100000)",US-TN
99,Nanjemoy,16904,Valid,H6,7500.0,Fell,1825.0,38.41667,-77.16667,"(38.416670, -77.166670)",US-VA
100,New Concord,16953,Valid,L6,230000.0,Fell,1860.0,40.0,-81.76667,"(40.000000, -81.766670)",US-OH
101,New Orleans,16960,Valid,H5,19256.0,Fell,2003.0,29.94718,-90.10976,"(29.947180, -90.109760)",US-LA
102,Nobleborough,16984,Valid,Eucrite-pmict,2300.0,Fell,1823.0,44.08333,-69.48333,"(44.083330, -69.483330)",US-ME
103,Noblesville,16985,Valid,H4-6,483.7,Fell,1991.0,40.08528,-86.055,"(40.085280, -86.055000)",US-IN
104,Norfork,16994,Valid,"Iron, IIIAB",1050.0,Fell,1918.0,36.21667,-92.26667,"(36.216670, -92.266670)",US-AR
105,Norton County,17922,Valid,Aubrite,1100000.0,Fell,1948.0,39.68333,-99.86667,"(39.683330, -99.866670)",US-KS
106,Orlando,34489,Valid,Eucrite,180.0,Fell,2004.0,28.5475,-81.36222,"(28.547500, -81.362220)",US-FL
107,Ottawa,18046,Valid,LL6,840.0,Fell,1896.0,38.6,-95.21667,"(38.600000, -95.216670)",US-KS
108,Palahatchie,18073,Valid,OC,,Fell,1910.0,32.31667,-89.71667,"(32.316670, -89.716670)",US-LA
109,Palmyra,18079,Valid,L3,135.0,Fell,1926.0,39.8,-91.5,"(39.800000, -91.500000)",US-IL
110,Paragould,18101,Valid,LL5,408000.0,Fell,1930.0,36.06667,-90.5,"(36.066670, -90.500000)",US-AR
111,Park Forest,18106,Valid,L5,18000.0,Fell,2003.0,41.48472,-87.67917,"(41.484720, -87.679170)",US-IN
112,Pasamonte,18110,Valid,Eucrite-pmict,5100.0,Fell,1933.0,36.21667,-103.4,"(36.216670, -103.400000)",US-NM
113,Peekskill,18782,Valid,H6,12570.0,Fell,1992.0,41.28333,-73.91667,"(41.283330, -73.916670)",US-NY
114,Pe̱a Blanca Spring,18786,Valid,Aubrite,70000.0,Fell,1946.0,30.125,-103.11667,"(30.125000, -103.116670)",US-TX
115,Petersburg,18801,Valid,Eucrite-pmict,1800.0,Fell,1855.0,35.3,-86.63333,"(35.300000, -86.633330)",US-TN
116,Phillips County (stone),18808,Valid,L6,57900.0,Fell,1901.0,40.0,-99.25,"(40.000000, -99.250000)",US-NE
117,Pitts,18837,Valid,"Iron, IAB-ung",3760.0,Fell,1921.0,31.95,-83.51667,"(31.950000, -83.516670)",US-GA
118,Plantersville,18846,Valid,H6,2085.0,Fell,1930.0,30.7,-96.11667,"(30.700000, -96.116670)",US-TX
119,Portales Valley,18874,Valid,H6,71400.0,Fell,1998.0,34.175,-103.295,"(34.175000, -103.295000)",US-NM
120,Pricetown,18888,Valid,L6,900.0,Fell,1893.0,39.11667,-83.85,"(39.116670, -83.850000)",US-KY
121,Red Canyon Lake,53502,Valid,H5,18.41,Fell,2007.0,38.13742,-119.75812,"(38.137420, -119.758120)",US-NV
122,Rich Mountain,22597,Valid,L6,668.0,Fell,1903.0,35.03333,-83.03333,"(35.033330, -83.033330)",US-TN
123,Richardton,22599,Valid,H5,90000.0,Fell,1918.0,46.88333,-102.31667,"(46.883330, -102.316670)",US-ND
124,Richland Springs,22602,Valid,OC,1900.0,Fell,1980.0,31.25,-99.03333,"(31.250000, -99.033330)",US-TX
125,Richmond,22603,Valid,LL5,1800.0,Fell,1828.0,37.46667,-77.5,"(37.466670, -77.500000)",US-VA
126,Rochester,22637,Valid,H6,340.0,Fell,1876.0,41.08333,-86.28333,"(41.083330, -86.283330)",US-IN
127,Rose City,22766,Valid,H5,10600.0,Fell,1921.0,44.51667,-83.95,"(44.516670, -83.950000)",US-MI
128,Salem,23107,Valid,L6,61.4,Fell,1981.0,44.97917,-122.96944,"(44.979170, -122.969440)",US-OR
129,San Juan Capistrano,23128,Valid,H6,56.0,Fell,1973.0,33.48472,-117.6625,"(33.484720, -117.662500)",US-CA
130,Schenectady,23458,Valid,H5,283.3,Fell,1968.0,42.86083,-73.95028,"(42.860830, -73.950280)",US-NY
131,Searsmont,23472,Valid,H5,5400.0,Fell,1871.0,44.36667,-69.2,"(44.366670, -69.200000)",US-ME
132,Sharps,23525,Valid,H3.4,1265.0,Fell,1921.0,37.83333,-76.7,"(37.833330, -76.700000)",US-VA
133,Shelburne,23529,Valid,L5,18600.0,Fell,1904.0,44.05,-80.16667,"(44.050000, -80.166670)",
134,Sioux County,23614,Valid,Eucrite-mmict,4100.0,Fell,1933.0,42.58333,-103.66667,"(42.583330, -103.666670)",US-NE
135,St. Louis,23089,Valid,H4,1000.0,Fell,1950.0,38.7,-90.23333,"(38.700000, -90.233330)",US-IL
136,St. Mary's County,23091,Valid,LL3.3,24.3,Fell,1919.0,38.16667,-76.38333,"(38.166670, -76.383330)",US-VA
137,Stratford,23728,Valid,L6,50.0,Fell,1974.0,41.2,-73.13333,"(41.200000, -73.133330)",US-NY
138,St-Robert,23733,Valid,H5,25400.0,Fell,1994.0,45.96861,-72.97806,"(45.968610, -72.978060)",
139,Success,23736,Valid,L6,3500.0,Fell,1924.0,36.48333,-90.66667,"(36.483330, -90.666670)",US-AR
140,Sutter's Mill,55529,Valid,C,992.5,Fell,2012.0,38.80389,-120.90806,"(38.803890, -120.908060)",US-CA
141,Sylacauga,23773,Valid,H4,5560.0,Fell,1954.0,33.18836,-86.2945,"(33.188360, -86.294500)",US-AL
142,Tilden,23998,Valid,L6,74800.0,Fell,1927.0,38.2,-89.68333,"(38.200000, -89.683330)",US-IL
143,Torrington,24032,Valid,H6,259.1,Fell,1944.0,42.06667,-104.16667,"(42.066670, -104.166670)",US-WY
144,Troup,24054,Valid,L6,1020.0,Fell,1917.0,32.16667,-95.1,"(32.166670, -95.100000)",US-TX
145,Turtle Lake,47343,Valid,L5,89.3,Fell,1996.0,45.34583,-92.05167,"(45.345830, -92.051670)",US-WI
146,Vernon County,24168,Valid,H6,1500.0,Fell,1865.0,43.5,-91.16667,"(43.500000, -91.166670)",US-WI
147,Walters,24210,Valid,L6,28100.0,Fell,1946.0,34.33333,-98.3,"(34.333330, -98.300000)",US-TX
148,Warrenton,24215,Valid,CO3.7,1600.0,Fell,1877.0,38.68333,-91.15,"(38.683330, -91.150000)",US-IL
149,Washougal,24218,Valid,Howardite,225.0,Fell,1939.0,45.58333,-122.35,"(45.583330, -122.350000)",US-WA
150,Weston,24249,Valid,H4,150000.0,Fell,1807.0,41.266667,-73.266667,"(41.266667, -73.266667)",US-NY
151,Wethersfield (1971),24250,Valid,L6,350.0,Fell,1971.0,41.7,-72.65,"(41.700000, -72.650000)",US-NY
152,Wethersfield (1982),24251,Valid,L6,2756.0,Fell,1982.0,41.71056,-72.67361,"(41.710560, -72.673610)",US-NY
153,Whetstone Mountains,49514,Valid,H5,2138.74,Fell,2009.0,31.96185,-110.434183,"(31.961850, -110.434183)",US-AZ
154,Worden,24337,Valid,L5,1551.0,Fell,1997.0,42.38467,-83.6115,"(42.384670, -83.611500)",US-MI
155,Yorktown (New York),30370,Valid,L5,250.0,Fell,1869.0,41.28333,-73.81667,"(41.283330, -73.816670)",US-NY
156,Abajo,4,Valid,H5,331.0,Found,1982.0,26.8,-105.41667,"(26.800000, -105.416670)",US-TX
157,Abbott,5,Valid,H3-6,21100.0,Found,1951.0,36.3,-104.28333,"(36.300000, -104.283330)",US-NM
158,Abernathy,7,Valid,L6,2914.0,Found,1941.0,33.85,-101.8,"(33.850000, -101.800000)",US-TX
159,Achilles,369,Valid,H5,16000.0,Found,1924.0,39.77667,-100.81333,"(39.776670, -100.813330)",US-KS
160,Ackerly,55379,Valid,L5,3046.0,Found,1995.0,32.59033,-101.77217,"(32.590330, -101.772170)",US-TX
161,Acme,371,Valid,H5,75000.0,Found,1947.0,33.63333,-104.26667,"(33.633330, -104.266670)",US-NM
162,Acomita,372,Valid,"Pallasite, PMG",3956.0,Found,1962.0,35.05,-107.56667,"(35.050000, -107.566670)",US-NM
163,Acu̱a,373,Valid,"Iron, IIIAB",217700.0,Found,1981.0,29.31667,-100.96667,"(29.316670, -100.966670)",US-TX
164,Adams County,375,Valid,H5,5700.0,Found,1928.0,39.96667,-103.76667,"(39.966670, -103.766670)",US-CO
165,Admire,380,Valid,"Pallasite, PMG",180000.0,Found,1881.0,38.7,-96.1,"(38.700000, -96.100000)",US-KS
166,Adrian,388,Valid,H4,22600.0,Found,1936.0,35.15,-102.71667,"(35.150000, -102.716670)",US-TX
167,Ahumada,419,Valid,"Pallasite, PMG",52600.0,Found,1909.0,30.7,-105.5,"(30.700000, -105.500000)",US-TX
168,Aiken,421,Valid,OC,956.0,Found,1936.0,34.2,-101.5,"(34.200000, -101.500000)",US-TX
169,Ainsworth,422,Valid,"Iron, IIAB",80650.0,Found,1907.0,42.6,-99.8,"(42.600000, -99.800000)",US-NE
170,Akron (1940),430,Valid,H6,1050.0,Found,1940.0,40.15,-103.16667,"(40.150000, -103.166670)",US-NE
171,Akron (1961),431,Valid,L6,4000.0,Found,1961.0,40.15,-103.16667,"(40.150000, -103.166670)",US-NE
172,Alamogordo,449,Valid,H5,13600.0,Found,1938.0,32.9,-105.93333,"(32.900000, -105.933330)",US-NM
173,Alamosa,450,Valid,L6,1800.0,Found,1937.0,37.46667,-105.86667,"(37.466670, -105.866670)",US-CO
174,Albin (pallasite),455,Valid,"Pallasite, PMG",37600.0,Found,1915.0,41.5,-104.1,"(41.500000, -104.100000)",US-WY
175,Albin (stone),456,Valid,L,15400.0,Found,1949.0,41.41667,-104.1,"(41.416670, -104.100000)",US-WY
176,Albion,457,Valid,"Iron, IVA",12280.0,Found,1966.0,46.83333,-117.25,"(46.833330, -117.250000)",US-WA
177,Aldama (a),459,Valid,"Iron, IIIAB",11000.0,Found,1985.0,28.83333,-105.86667,"(28.833330, -105.866670)",US-TX
178,Aldama (b),460,Valid,H5,66.5,Found,1996.0,25.05,-106.0,"(25.050000, -106.000000)",
179,Alexander County,464,Valid,"Iron, IAB complex",192.0,Found,1875.0,35.75,-81.25,"(35.750000, -81.250000)",US-NC
180,Algoma,470,Valid,"Iron, IAB-sHL",4100.0,Found,1887.0,44.65,-87.46667,"(44.650000, -87.466670)",US-WI
181,Alkali,474,Valid,H6,30.47,Found,1998.0,37.86667,-117.4,"(37.866670, -117.400000)",US-NV
182,Alkali Flat,55662,Valid,L5,28.0,Found,2011.0,32.306,-108.9038,"(32.306000, -108.903800)",US-NM
183,Allen,2277,Valid,H4,1407.0,Found,1923.0,33.1,-96.7,"(33.100000, -96.700000)",US-TX
184,Allred,2280,Valid,L4,6570.0,Found,1978.0,33.1,-102.95,"(33.100000, -102.950000)",US-TX
185,Almelo Township,2281,Valid,L5,3180.0,Found,1949.0,39.6,-100.11667,"(39.600000, -100.116670)",US-KS
186,Altonah,2286,Valid,"Iron, IVA",21500.0,Found,1932.0,40.56667,-110.48333,"(40.566670, -110.483330)",US-UT
187,Alvord,2287,Valid,"Iron, IVA",17500.0,Found,1976.0,43.32222,-96.28889,"(43.322220, -96.288890)",US-IA
188,Amber,2291,Valid,L6,4532.0,Found,1934.0,35.16667,-97.88333,"(35.166670, -97.883330)",US-TX
189,Amherst,2293,Valid,L6,8500.0,Found,1947.0,40.8,-99.2,"(40.800000, -99.200000)",US-NE
190,Angelica,2300,Valid,"Iron, IIIAB",14800.0,Found,1916.0,44.25,-88.25,"(44.250000, -88.250000)",US-WI
191,Anoka,2307,Valid,"Iron, IAB-sLM",1108.0,Found,1961.0,45.2,-93.43333,"(45.200000, -93.433330)",US-MN
192,Anson,2308,Valid,L6,3900.0,Found,1972.0,39.33333,-97.56167,"(39.333330, -97.561670)",US-KS
193,Antelope,57455,Valid,H4,754.0,Found,2012.0,40.90183,-118.54465,"(40.901830, -118.544650)",US-NV
194,Anthony,2310,Valid,H5,20000.0,Found,1919.0,37.08333,-98.05,"(37.083330, -98.050000)",US-KS
195,Anthony Gap,56391,Valid,L6,347.36,Found,2011.0,32.00584,-106.56028,"(32.005840, -106.560280)",US-NM
196,Anton,2311,Valid,H4,41800.0,Found,1965.0,33.7825,-102.18111,"(33.782500, -102.181110)",US-TX
197,Apache Junction,54566,Valid,"Iron, IIIAB",25000.0,Found,,33.45,-111.51667,"(33.450000, -111.516670)",US-AZ
198,Apex,2315,Valid,L6,6.1,Found,1938.0,39.75,-105.2,"(39.750000, -105.200000)",US-CO
199,Arapahoe,2323,Valid,L5,19083.0,Found,1940.0,38.8,-102.2,"(38.800000, -102.200000)",US-CO
200,Arcadia,2326,Valid,LL6,19400.0,Found,1937.0,41.41667,-99.1,"(41.416670, -99.100000)",US-NE
201,Arch,2327,Valid,CV3,985.8,Found,1972.0,34.15,-103.22,"(34.150000, -103.220000)",US-NM
202,Arches,2328,Valid,L5,534.0,Found,2001.0,38.68867,-109.58517,"(38.688670, -109.585170)",US-UT
203,Argonia,2331,Valid,"Pallasite, PMG-an",84.0,Found,1940.0,37.26667,-97.76667,"(37.266670, -97.766670)",US-KS
204,Arispe,2332,Valid,"Iron, IC",683000.0,Found,1896.0,30.33333,-109.98333,"(30.333330, -109.983330)",
205,Arivaca,47346,Valid,Eucrite-mmict,30.1,Found,1999.0,31.59391,-111.37023,"(31.593910, -111.370230)",US-AZ
206,Arlington,2333,Valid,"Iron, IIE-an",8940.0,Found,1894.0,44.6,-94.1,"(44.600000, -94.100000)",US-MN
207,Armel,2336,Valid,L5,9200.0,Found,1967.0,39.76667,-102.13333,"(39.766670, -102.133330)",US-CO
208,Arriba,2339,Valid,L5,31100.0,Found,1936.0,39.3,-103.25,"(39.300000, -103.250000)",US-CO
209,Asheville,2347,Valid,"Iron, IIIAB",800.0,Found,1839.0,35.58333,-82.53333,"(35.583330, -82.533330)",US-TN
210,Ashfork,2348,Valid,"Iron, IAB-MG",27000.0,Found,1901.0,35.25,-112.5,"(35.250000, -112.500000)",US-AZ
211,Ashmore,2349,Valid,H5,55400.0,Found,1969.0,32.9,-102.28333,"(32.900000, -102.283330)",US-TX
212,Atlanta,4886,Valid,EL6,5500.0,Found,1938.0,31.8,-92.75,"(31.800000, -92.750000)",US-LA
213,Attica,4890,Valid,H4,5622.0,Found,1996.0,37.25,-98.13333,"(37.250000, -98.133330)",US-KS
214,Atwood,4891,Valid,L6,2100.0,Found,1963.0,40.51667,-103.26667,"(40.516670, -103.266670)",US-NE
215,Atwood (b),4892,Valid,OC,77.0,Found,1964.0,40.51667,-103.26667,"(40.516670, -103.266670)",US-NE
216,Aubrey Hills,56393,Valid,H6,560.8,Found,2010.0,34.38063,-114.16705,"(34.380630, -114.167050)",US-CA
217,Auburn,4894,Valid,"Iron, IIG",3630.0,Found,1867.0,32.63333,-85.5,"(32.633330, -85.500000)",US-AL
218,Augusta County,4897,Valid,"Iron, IIIAB",76000.0,Found,1858.0,38.16667,-79.08333,"(38.166670, -79.083330)",US-VA
219,Aurora,4901,Valid,H4,1000.0,Found,1938.0,36.33333,-105.05,"(36.333330, -105.050000)",US-NM
220,Axtell,4911,Valid,CV3,6200.0,Found,1943.0,31.66,-96.97167,"(31.660000, -96.971670)",US-TX
221,Babb's Mill (Blake's Iron),4915,Valid,"Iron, ungrouped",136000.0,Found,1876.0,36.3,-82.88333,"(36.300000, -82.883330)",US-TN
222,Babb's Mill (Troost's Iron),4916,Valid,"Iron, ungrouped",6400.0,Found,1842.0,36.3,-82.88333,"(36.300000, -82.883330)",US-TN
223,Bacubirito,4919,Valid,"Iron, ungrouped",22000000.0,Found,1863.0,26.2,-107.83333,"(26.200000, -107.833330)",
224,Bagdad,4920,Valid,"Iron, IIIAB",2200.0,Found,1959.0,34.613317,-113.398967,"(34.613317, -113.398967)",US-AZ
